Id,Property_type,RoomType,BedType,Min_Night,Max_Night,Cancel,Accomadate,Bedroom,amenities,Bed,Total_Reviews,Bathrooms,Price,Cleaning,ExtraPeople,Guests,Id_host,Location,Response,Host_neigh,Response_rate,Total_list,Vertify,Street,SubUrban,Gov_Area,Market,Country,C_Code,longitude,latitude,Avail_30,Avail_60,Avail_90,Avail_365,RScore_accur,RScore_neatness,RScore_checkin,RScore_comm,RScore_location,RScore_value,RScore_rate
1003530,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,"Internet,Wifi,Air conditioning,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,translation missing: en.hosting_amenity_50",1,70,1.0,135,135,0,1,454250,"New York, New York, United States",within an hour,Not Specified,100.0,3,"email,phone,reviews,jumio,offline_government_id,government_id","New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,-73.96523,40.79962,0,0,0,93,10.0,9.0,10.0,10.0,10.0,10.0,94.0
10133554,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1,"Internet,Wifi,Air conditioning,Free parking on premises,Smoking allowed,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Building staff",2,29,1.0,121,135,0,1,52004703,"Istanbul, İstanbul, Turkey",within a few hours,Not Specified,100.0,2,"email,phone,facebook,reviews,jumio,offline_government_id,government_id","Fatih , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,28.98009,41.0062,30,60,90,365,9.0,9.0,10.0,10.0,10.0,9.0,92.0
10059872,Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,"Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator,Heating,Family/kid friendly,Essentials,24-hour check-in,translation missing: en.hosting_amenity_50",2,3,1.0,699,135,0,1,51624384,"Hong Kong, Hong Kong",within an hour,Soho,100.0,1,"email,phone,reviews,jumio,government_id","Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,114.15027,22.28158,0,0,0,0,10.0,10.0,10.0,10.0,10.0,8.0,100.0
10084023,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1,"TV,Wifi,Air conditioning,Kitchen,Elevator,First aid kit,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Microwave,Refrigerator,Dishes and silverware,Stove,Long term stays allowed,Host greets you",1,81,1.0,181,50,100,1,51744313,United States,within an hour,Shek Kip Mei,100.0,2,"email,phone,reviews,jumio,offline_government_id,government_id","Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,114.1669,22.3314,14,24,40,220,10.0,8.0,10.0,10.0,10.0,10.0,92.0
10091713,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0,"TV,Wifi,Kitchen,Elevator,Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Bed linens,Ethernet connection,Other",1,64,1.0,181,50,0,1,13764143,"New South Wales, Australia",within an hour,Surry Hills,100.0,1,"email,phone,google,reviews,jumio,offline_government_id,government_id,work_email","Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,151.21554,-33.88029,0,0,0,0,10.0,9.0,10.0,10.0,10.0,9.0,95.0
10112159,Hostel,Private room,Real Bed,1,1125,moderate,2,1,"TV,Cable TV,Wifi,Family/kid friendly,Smoke detector,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Hot water,Long term stays allowed,Other",1,0,1.0,40,50,25,2,2649859,"Porto, Porto, Portugal",within an hour,Not Specified,100.0,2,"email,phone,reviews,jumio,government_id","Porto, Porto, Portugal",Not Specified,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60867,41.1543,30,60,87,359,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
10096773,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1,"TV,Internet,Wifi,Kitchen,Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials",1,1,1.0,145,60,0,1,34607505,"New York, New York, United States",within an hour,Chelsea,100.0,1,"email,phone,facebook,reviews,kba","New York, NY, United States",Manhattan,Chelsea,New York,United States,US,-74.00074,40.74577,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10140368,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1,"Wifi,Kitchen,Free street parking,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Private entrance,Hot water,Host greets you",1,239,1.0,45,60,10,1,1017772,US,within an hour,Jamaica,100.0,1,"email,phone,manual_online,facebook,reviews,manual_offline,jumio,government_id","Queens, NY, United States",Queens,Briarwood,New York,United States,US,-73.82257,40.71485,20,29,29,34,10.0,10.0,10.0,10.0,9.0,10.0,95.0
10021707,Apartment,Private room,Real Bed,14,1125,flexible,1,1,"Internet,Wifi,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Essentials,Lock on bedroom door",1,1,1.5,40,60,0,1,11275734,"New York, New York, United States",within an hour,Bushwick,100.0,1,"email,phone,reviews,kba","Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,-73.93615,40.69791,0,0,0,0,10.0,10.0,10.0,10.0,8.0,8.0,100.0
10038496,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,"TV,Cable TV,Internet,Wifi,Air conditioning,Kitchen,Paid parking off premises,Smoking allowed,Doorman,Elevator,Buzzer/wireless intercom,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Oven,Stove,Long term stays allowed,Wide hallway clearance,Host greets you",3,70,2.0,119,150,40,3,51530266,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,Copacabana,100.0,2,"email,phone,reviews,jumio,government_id","Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.190849194463404,-22.984339360067814,7,19,33,118,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10059244,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0,"TV,Internet,Wifi,Kitchen,Free parking on premises,Heating,Washer,Smoke detector,Essentials,Shampoo,Laptop friendly workspace,Hot water,Bed linens",1,0,1.0,43,150,12,1,7140229,"Montreal, Quebec, Canada",within an hour,Not Specified,100.0,1,"email,phone,reviews,jumio,government_id","Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,-73.54949,45.54548,0,0,0,32,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
10116578,Apartment,Entire home/apt,Real Bed,1,1125,flexible,5,3,"Cable TV,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Doorman,Elevator,Buzzer/wireless intercom,Family/kid friendly,Washer,24-hour check-in,Iron",3,0,1.5,933,150,0,1,51915770,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,Not Specified,100.0,1,"phone,facebook","Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,-43.1825954762751,-22.930541460367934,30,60,90,365,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
10009999,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1,"Wifi,Wheelchair accessible,Kitchen,Free parking on premises,Smoking allowed,Hot tub,Buzzer/wireless intercom,Family/kid friendly,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace",2,0,1.0,317,187,0,1,1282196,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,Jardim Botânico,100.0,1,"email,phone,facebook","Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,-43.23074991429229,-22.966253551739655,0,0,0,0,Not Specified,Not Specified,Not Specified,9.688311688311689,9.601078167115903,9.305147058823529,93.09924038225925
